City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
255,Port%20Hedland,AU,87.8,-20.31,118.58,scattered clouds,The Esplanade Hotel
257,Bambous%20Virieux,MU,71.01,-20.34,57.76,scattered clouds,Shandrani Beachcomber Resort & Spa
263,Mecca,SA,77.41,21.43,39.83,clear sky,Hotel Fairmont Makkah Clock Royal Tower
269,Fare,PF,80.02,-16.7,-151.02,moderate rain,Maitai Lapita Village Huahine
271,Niquelandia,BR,73.47,-14.47,-48.46,overcast clouds,Hotel Suinã
273,Kailua,US,87.8,21.39,-157.74,overcast clouds,Paradise Bay Resort
274,Vila%20Velha,BR,86.0,-3.71,-38.6,broken clouds,Hotel Luzeiros Fortaleza
276,Poya,NC,71.04,-21.35,165.16,clear sky,Gîte du Cap
281,Auki,NG,78.44,12.18,6.51,overcast clouds,Crystal Merit Suites & Apartment
283,Waingapu,ID,81.57,-9.65,120.26,clear sky,Pondok Wisata Elim
289,Alofi,NU,82.4,-19.06,-169.92,few clouds,Scenic Matavai Resort Niue
290,Beinamar,TD,75.31,8.67,15.38,broken clouds,
291,Kavieng,PG,81.77,-2.57,150.8,overcast clouds,Lissenung Island Resort
292,Kahului,US,87.8,20.89,-156.47,scattered clouds,Maui Seaside Hotel
294,Lorengau,PG,83.12,-2.02,147.27,moderate rain,Lorengau Harbourside Hotel
297,Catuday,PH,80.55,16.29,119.81,broken clouds,Puerto Del Sol Beach Resort and Hotel Club
300,Remedios,CO,72.16,7.03,-74.7,light rain,Hotel Torre Sampedro
302,Srikakulam,IN,71.83,18.29,83.89,clear sky,Sriram residency
305,Naze,NG,71.24,5.43,7.07,overcast clouds,Sun City Hotel
306,General%20Escobedo,MX,75.2,25.81,-100.32,overcast clouds,Holiday Inn Monterrey Norte
308,Villa%20Maria,CO,75.2,4.5,-74.09,shower rain,Hotel Dann Av 19
309,Port%20Lincoln,AU,83.12,-34.72,135.86,clear sky,Port Lincoln Hotel
311,Bandarbeyla,SO,79.47,9.49,50.81,light rain,REER XOOSHLE GROUP
313,Ahuimanu,US,87.8,21.44,-157.84,overcast clouds,Paradise Bay Resort
314,Outjo,,71.6,-20.11,16.16,overcast clouds,Sasa Safari Camp & Tours
319,Brazzaville,CD,80.6,-4.27,15.27,thunderstorm,Hotel Muesse
324,Pangoa,PE,71.85,-12.12,-73.0,moderate rain,
326,Bubaque,GW,83.43,11.28,-15.83,few clouds,Dakosta Island Beach Camp
328,Lufilufi,WS,86.0,-13.87,-171.6,few clouds,Leuaina Beach Resort
330,Porto%20Walter,BR,74.21,-8.27,-72.74,broken clouds,Hotel Silva
332,Abengourou,CI,74.61,6.73,-3.5,overcast clouds,Hotel des Princes
333,Hobyo,SO,76.96,5.35,48.53,few clouds,
334,Ciudad%20Guayana,VE,81.0,8.32,-62.69,light rain,Eurobuilding Hotel Plaza Guayana
335,Praia,BR,82.4,-20.25,-43.81,scattered clouds,Capricho Asturiano
336,Manono,CD,71.4,-7.3,27.4,overcast clouds,Hotel hewa bora
343,Itarema,BR,77.67,-2.92,-39.92,overcast clouds,Windvillage
347,Pahrump,US,75.0,36.21,-115.98,clear sky,Best Western Pahrump Oasis
348,Traralgon,AU,72.0,-38.19,146.54,scattered clouds,Comfort Inn Traralgon
350,Mogadishu,SO,81.7,2.04,45.34,light rain,Olympic Hotel
353,Victoria,BN,82.4,5.28,115.24,broken clouds,Tiara Labuan Hotel
354,Broken%20Hill,AU,77.0,-31.97,141.45,clear sky,Royal Exchange Hotel
358,Dhidhdhoo,MV,81.45,6.88,73.1,clear sky,The Barefoot Eco Hotel
359,Faanui,PF,80.06,-16.48,-151.75,moderate rain,InterContinental Bora Bora Resort Thalasso Spa
365,Mahibadhoo,MV,81.57,3.78,72.97,moderate rain,Lily Beach Resort & Spa at Huvahendhoo
367,Noumea,NC,82.4,-22.28,166.46,broken clouds,Hôtel Le Lagon
368,Hwange,ZW,71.58,-18.35,26.5,overcast clouds,Hwange Colliery Guest House
369,Palmer,AU,84.0,-34.85,139.16,clear sky,Mannum Motel
372,Sur,OM,74.28,22.57,59.53,clear sky,Sur Plaza Hotel
375,Luba,PH,76.32,17.32,120.7,scattered clouds,Devz malammin pool
381,Newcastle,AU,78.01,-32.93,151.78,scattered clouds,Quality Hotel NOAH'S On The Beach
384,Trairi,BR,74.32,-3.28,-39.27,broken clouds,Zorah Beach Hotel
386,Vanimo,PG,80.46,-2.67,141.3,moderate rain,Vahmoneh Lodge Vanimo
387,San%20Andres,PH,78.62,13.32,122.68,overcast clouds,El Fresco Lodge
389,Guerrero%20Negro,MX,70.39,27.97,-114.04,overcast clouds,The Halfway Inn
398,Sao%20Filipe,CV,74.62,14.9,-24.5,broken clouds,Tortuga B&B
400,Terra%20Santa,BR,82.18,-2.1,-56.49,overcast clouds,RIO HOTEL
403,Pyu,MM,71.13,18.48,96.43,clear sky,Mr Bo Bo
404,Kloulklubed,PW,84.2,7.04,134.26,broken clouds,Carp Island Resort
405,Biltine,TD,76.12,14.53,20.93,broken clouds,Hôtel Trois Étoiles de Biltine
407,San%20Quintin,PH,76.32,17.54,120.52,scattered clouds,Giordion Inn
410,Batemans%20Bay,AU,72.0,-35.71,150.18,scattered clouds,Coachhouse Marina Resort - Batemans Bay
413,Solano,CO,76.77,0.7,-75.25,light rain,Hotel Caquetá
414,Tessalit,ML,72.41,20.2,1.01,overcast clouds,
415,Maamba,ZM,72.03,-17.36,27.22,overcast clouds,Kariba Bush Club
417,Salvador,BR,80.6,-12.98,-38.48,scattered clouds,Iguatemi Business Flat
418,Charters%20Towers,AU,86.2,-20.07,146.27,broken clouds,Cattleman's Rest Motor Inn
423,Ibimirim,BR,73.33,-8.54,-37.69,broken clouds,Pousada Casa Grande
425,Puerto%20Suarez,BO,77.0,-18.96,-57.8,broken clouds,Hotel Laura Vicunha
429,Biu,NG,79.45,10.61,12.19,scattered clouds,Gombe Get Bauchi
432,Bacalar,MX,80.6,18.68,-88.39,scattered clouds,Hotel Laguna Bacalar
434,Muisne,EC,77.0,0.61,-80.02,overcast clouds,La Facha Hostel Restaurant & Surf
436,Guayaquil,EC,77.0,-2.18,-79.88,broken clouds,"Grand Hotel Guayaquil, an Ascend Hotel Collection Member"
438,Praya,ID,86.0,-8.71,116.27,scattered clouds,Grand Royal B.I.L Lombok
439,Mersing,MY,81.32,2.43,103.84,light rain,Timotel Hotel
441,Sorong,ID,83.25,-0.86,131.25,few clouds,The Waigo Hotel
446,Acapulco,MX,86.0,16.86,-99.88,scattered clouds,Crowne Plaza Acapulco
449,Ca%20Mau,VN,76.91,9.18,105.15,overcast clouds,Khách Sạn Mường Thanh Luxury Cà Mau
451,Quatre%20Cocos,MU,71.01,-20.21,57.76,scattered clouds,One&Only Le Saint Géran
458,Santiago%20Del%20Estero,AR,78.73,-27.8,-64.26,clear sky,HOTEL URBANO
460,Negara,ID,79.95,-8.36,114.62,clear sky,Taman Wana Resort Palasari
462,Marawi,PH,81.0,8.0,124.29,broken clouds,Derogongan Residence
464,Paragominas,BR,78.94,-3.0,-47.35,light rain,Paragominas Palace Hotel
466,Kirakira,SB,82.63,-10.46,161.92,broken clouds,Freshwind
469,Sao%20Jose%20Do%20Belmonte,BR,80.37,-7.86,-38.76,broken clouds,Pousada Pedra do Reino
470,Sao%20Jose%20Do%20Egito,BR,73.27,-7.48,-37.27,overcast clouds,BINHAS HOTEL
472,Ternate,PH,82.4,14.29,120.72,broken clouds,Pico Sands Hotel
476,Salalah,OM,75.2,17.01,54.1,clear sky,Hilton Salalah Resort
477,Gizo,IL,75.2,31.8,34.94,broken clouds,שורש ירוק בהר - Green Hill Suites at Shoresh
479,Puri,ID,81.7,-7.54,112.45,broken clouds,Sun Palace Hotel
480,Ruteng,ID,76.73,-8.61,120.46,broken clouds,Hotel FX72 Ruteng
483,Eyl,SO,78.87,7.98,49.82,clear sky,Amiin Hotel
488,Richards%20Bay,ZA,70.54,-28.77,32.06,moderate rain,Imvubu Lodge
492,Mbandaka,CD,71.49,0.05,18.26,light rain,Guest House Epervier
493,Laguna,BZ,84.2,16.17,-88.94,broken clouds,The Farm Inn
496,Santa%20Cruz,BR,73.44,-6.22,-36.02,broken clouds,Pousada Trairi
497,Biak,ID,81.72,-0.91,122.88,broken clouds,Hotel Santika Luwuk
498,Barao%20De%20Melgaco,BR,77.0,-16.19,-55.97,few clouds,Tuiuiu Pantanal Hotel
500,Lakota,CI,72.16,5.85,-5.68,few clouds,Hotel Mirabel Lakota
503,Benghazi,LY,70.21,32.12,20.07,scattered clouds,Tebisty Hotel
506,Soyo,AO,77.88,-6.13,12.37,scattered clouds,Hotel Mpampa
510,Diffa,NE,82.06,13.32,12.61,broken clouds,Complexe Hôtelier Du 18 Décembre
514,Lubao,CD,70.2,-5.39,25.75,light rain,Hotel Romania
520,Pacific%20Grove,US,75.0,36.62,-121.92,clear sky,Lovers Point Inn
522,Melchor%20De%20Mencos,GT,78.01,17.06,-89.15,few clouds,Rumors Resort Hotel
526,Carutapera,BR,81.81,-1.2,-46.02,scattered clouds,Lidera
527,Hirara,JP,73.4,24.8,125.28,few clouds,宮古島東急ホテル＆リゾーツ
530,Sabang,PH,79.0,13.8,121.11,overcast clouds,The Farm At San Benito
535,Taungdwingyi,MM,71.2,20.0,95.55,clear sky,NayNaing MobileService
542,San%20Policarpo,PH,80.71,12.18,125.51,overcast clouds,Kirum-Kirum Resort and Hotel
548,Gold%20Coast,AU,82.0,-28.0,153.41,scattered clouds,Mantra Towers of Chevron Surfers Paradise
549,Mumford,GH,75.02,5.26,-0.76,scattered clouds,Windy Lodge Beach Resort
551,Garowe,SO,71.51,8.41,48.48,clear sky,Curubo Hotel
552,San%20Juan,AR,84.72,-31.54,-68.53,few clouds,Hotel Provincial
554,Pandharpur,IN,70.93,17.68,75.33,clear sky,Hotel Vitthal Inn Pandharpur
557,Narsipatnam,IN,73.4,17.67,82.61,mist,Lodge Vooda Residency AC
559,Dwarka,IN,71.67,28.58,77.04,overcast clouds,JW Marriott Hotel New Delhi Aerocity
